issue_id,status,owner,wave,pr_link,failing_test,fix_commit,verification_evidence
ISSUE-093,FIXED_PRE,,,,,,
ISSUE-094,DONE,,,https://github.com/khill1269/servalsheets/issues/40,,,
ISSUE-095,OPEN,,,,,,
ISSUE-096,FALSE_ALARM,,,,,,
ISSUE-097,FALSE_ALARM,,,,,,
ISSUE-098,FALSE_ALARM,,,,,,
ISSUE-099,FALSE_ALARM,,,,,,
ISSUE-100,FALSE_ALARM,,,,,,
ISSUE-101,DONE,,,,,,Wave 6 completed (Task #22); fixed in prior remediation sessions
ISSUE-102,DONE,codex-security,wave1-security,,,,
ISSUE-103,DONE,codex-security,wave1-security,,,,
ISSUE-104,OPEN,,,,,,
ISSUE-105,FALSE_ALARM,,,,,,
ISSUE-106,OPEN,,,,,,
ISSUE-107,FALSE_ALARM,,,,,,
ISSUE-108,FIXED_PRE,,,,,,
ISSUE-109,OPEN,,,,,,
ISSUE-110,OPEN,,,,,,
ISSUE-111,OPEN,,,,,,
ISSUE-112,FIXED_PRE,,,,,,
ISSUE-113,FIXED_PRE,,,,,,
ISSUE-114,FIXED_PRE,,,,,,
ISSUE-115,DONE,,,,,,
ISSUE-115b,DONE,,,,,,
ISSUE-116,FIXED_PRE,,,,,,
ISSUE-117,DONE,codex-security,wave1-security,,,,
ISSUE-118,FALSE_ALARM,,,,,,
ISSUE-119,DONE,,,,,,
ISSUE-120,FIXED_PRE,,,,,,
ISSUE-121,FIXED_PRE,,,,,,
ISSUE-122,FIXED_PRE,,,,,,
ISSUE-123,OPEN,,,,,,
ISSUE-124,OPEN,,,,,,
ISSUE-125,OPEN,,,,,,
ISSUE-126,OPEN,,,,,,
ISSUE-127,FIXED_PRE,,,,,,
ISSUE-128,FIXED_PRE,,,,,,
ISSUE-129,OPEN,,,,,,
ISSUE-130,OPEN,,,,,,
ISSUE-131,OPEN,,,,,,
ISSUE-132,OPEN,,,,,,
ISSUE-133,OPEN,,,,,,
ISSUE-134,OPEN,,,,,,
ISSUE-135,OPEN,,,,,,
ISSUE-136,DONE,,,,,,Wave 1C completed (Task #16); fixed in prior remediation sessions
ISSUE-137,FIXED_PRE,,,,,,
ISSUE-138,FIXED_PRE,,,,,,
ISSUE-139,DONE,,,,,,
ISSUE-140,OPEN,,,,,,
ISSUE-141,FIXED_PRE,,,,,,
ISSUE-142,FIXED_PRE,,,,,,
ISSUE-143,FIXED_PRE,,,,,,
ISSUE-144,FIXED_PRE,,,,,,
ISSUE-145,FIXED_PRE,,,,,,
ISSUE-146,OPEN,,,,,,
ISSUE-147,OPEN,,,https://github.com/khill1269/servalsheets/issues/41,,,
ISSUE-148,OPEN,,,,,,
ISSUE-149,OPEN,,,,,,
ISSUE-150,OPEN,,,,,,
ISSUE-151,FIXED_PRE,,,,,,
ISSUE-152,FIXED_PRE,,,,,,
ISSUE-153,DONE,,,,,,
ISSUE-154,OPEN,,,,,,
ISSUE-155,DONE,,,,,,
ISSUE-156,DONE,,,,,,
ISSUE-157,OPEN,,,,,,
ISSUE-158,OPEN,,,,,,
ISSUE-159,DONE,codex-security,wave1-security,,,,
ISSUE-160,DONE,codex-security,wave1-security,,,,
ISSUE-161,DONE,,,,,,Wave 6 completed (Task #22); fixed in prior remediation sessions
ISSUE-162,DONE,,,,,,Wave 6 completed (Task #22); fixed in prior remediation sessions
ISSUE-163,OPEN,,,,,,
ISSUE-164,OPEN,,,,,,
ISSUE-165,DONE,codex-security,wave1-security,,,,
ISSUE-166,DONE,codex-security,wave1-security,,,,
ISSUE-167,OPEN,,,,,,
ISSUE-168,OPEN,,,https://github.com/khill1269/servalsheets/issues/42,,,
ISSUE-169,DONE,,,,,,Wave 6 completed (Task #22); fixed in prior remediation sessions
ISSUE-170,OPEN,,,,,,
ISSUE-171,FIXED_PRE,,,,,,
ISSUE-172,OPEN,,,,,,
ISSUE-173,OPEN,,,https://github.com/khill1269/servalsheets/issues/43,,,
ISSUE-174,OPEN,,,https://github.com/khill1269/servalsheets/issues/44,,,
ISSUE-175,OPEN,,,https://github.com/khill1269/servalsheets/issues/44,,,
ISSUE-176,OPEN,,,,,,
ISSUE-177,DONE,,,,,,
ISSUE-178,OPEN,,,,,,
ISSUE-179,OPEN,,,,,,
ISSUE-180,OPEN,,,,,,
ISSUE-181,OPEN,,,,,,
ISSUE-182,OPEN,,,,,,
ISSUE-183,OPEN,,,,,,
ISSUE-184,OPEN,,,,,,
ISSUE-185,DONE,,,,,,
ISSUE-186,DONE,,,,,,
ISSUE-187,OPEN,,,,,,
ISSUE-188,DONE,,,,,,
ISSUE-189,DONE,,,,,,
ISSUE-190,DONE,,,,,,
ISSUE-191,DONE,,,,,,
ISSUE-192,DONE,,,,,,
ISSUE-193,DONE,,,,,,
ISSUE-194,DONE,,,,,,
ISSUE-195,DONE,,,,,,
ISSUE-196,DONE,,,,,,
ISSUE-197,OPEN,,,,,,
ISSUE-198,OPEN,,,,,,
ISSUE-199,OPEN,,,,,,
ISSUE-200,OPEN,,,,,,
ISSUE-201,OPEN,,,,,,
ISSUE-202,DONE,,,,,,
ISSUE-203,OPEN,,,,,,
ISSUE-204,DONE,,,,,,
ISSUE-205,OPEN,,,,,,
ISSUE-206,OPEN,,,,,,
ISSUE-207,OPEN,,,,,,
ISSUE-208,OPEN,,,,,,
ISSUE-209,OPEN,,,,,,
ISSUE-210,OPEN,,,,,,
ISSUE-211,DONE,,,,,,
ISSUE-212,FIXED_PRE,,,,,,
ISSUE-213,OPEN,,,,,,
ISSUE-214,DONE,,,,,,Wave 4+5 completed (Task #21); fixed in prior remediation sessions
ISSUE-215,DONE,codex-security,wave1-security,,,,
ISSUE-216,DONE,,,,,,
ISSUE-217,DONE,,,,,,
ISSUE-218,FIXED_PRE,,,,,,
ISSUE-219,OPEN,,,,,,
ISSUE-220,OPEN,,,,,,
ISSUE-221,OPEN,,,,,,
ISSUE-222,OPEN,,,,,,
ISSUE-223,DONE,codex-security,wave1-security,,,,
ISSUE-224,DONE,codex-security,wave1-security,,,,
ISSUE-225,DONE,codex-security,wave1-security,,,,
ISSUE-226,DONE,codex-security,wave1-security,,,,
ISSUE-227,DONE,codex-security,wave1-security,,,,
ISSUE-228,FALSE_ALARM,codex-security,wave1-security,,,,
ISSUE-229,DONE,codex-security,wave1-security,,,,
ISSUE-230,DONE,codex-security,wave1-security,,,,
ISSUE-231,DONE,codex-security,wave1-security,,,,
ISSUE-232,DONE,,,,,,
ISSUE-233,DONE,,,,,,
ISSUE-234,DONE,,,,,,
ISSUE-235,OPEN,,,,,,
ISSUE-236,OPEN,,,,,,
ISSUE-237,DONE,,,,,d189c18,Session 41: tautological assertions and non-deterministic test data fixed; anti-pattern rules added to CLAUDE.md
ISSUE-238,OPEN,,,,,,
ISSUE-239,FALSE_ALARM,,,,,,
